url,title,price,location,area_m2,rooms,floor,market_type,year_built,finish,heating,rent,ownership,available_from,advertiser_type,extras,price_per_m2,elevator,building_material,window_type,building_type,energy_certificate,security_features
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-ID4u90f,1-pokojowe mieszkanie 33m2 + balkon,387 440 zł,"ul. Józefowska 23, Wełnowiec-Józefowiec, Katowice, śląskie",33.4,1,4/10,pierwotny,2027,do wykończenia,miejskie,brak informacji,pełna własność,2027-03-30,deweloper,"balkon, garaż/miejsce parkingowe",11600,tak,brak informacji,brak informacji,brak informacji,brak informacji,teren zamknięty monitoring / ochrona
https://www.otodom.pl/pl/oferta/nowa-cena-mieszkanie-z-garazem-piwnica-ogrod-ID4wv55,NOWA CENA Mieszkanie z garażem | piwnica | ogród,860 000 zł,"ul. Różana 3, Śródmieście, Katowice, śląskie",136.0,5,1/1,wtórny,brak informacji,brak informacji,brak informacji,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"ogródek, garaż/miejsce parkingowe, piwnica, oddzielna kuchnia, pom. użytkowe",6324,nie,brak informacji,plastikowe,brak informacji,W trakcie realizacji / Zwolnione,teren zamknięty
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-z-wlasna-fotowoltaika-ID4wv4V,Nowoczesny apartament z własną fotowoltaiką,570 000 zł,"Cedrowa, Mysłowice, śląskie",63.28,3,3/3,pierwotny,2023,do wykończenia,elektryczne,brak informacji,pełna własność,brak informacji,biuro nieruchomości,balkon,9008,tak,pustak,plastikowe,apartamentowiec,A+,monitoring / ochrona
https://www.otodom.pl/pl/oferta/apartament-inspire-dolina-3-stawow-premium-ID4wv3H,Apartament Inspire - Dolina 3 Stawów! Premium!,1 721 251 zł,"Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",109.0,4,7/8,pierwotny,2026,do wykończenia,brak informacji,brak informacji,brak informacji,brak informacji,biuro nieruchomości,"balkon, taras, garaż/miejsce parkingowe",15791,tak,brak informacji,brak informacji,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/wygodna-przestrzen-do-zycia-w-swietnej-lokalizacji-ID4wv34,Wygodna przestrzeń do życia w świetnej lokalizacji,490 000 zł,"skwer Kazimierza Gołby, Załęska Hałda-Brynów, Katowice, śląskie",52.0,2,2/2,wtórny,1980,brak informacji,miejskie,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, piwnica",9423,nie,inny,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-os-witosa-mozliwosc-dokupienia-garazu-ID4wv2N,Mieszkanie os. Witosa. Możliwość dokupienia garażu,399 000 zł,"Osiedle Witosa, Katowice, śląskie",50.0,3,2/4,wtórny,1986,do zamieszkania,miejskie,399 zł,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, piwnica, oddzielna kuchnia",7980,nie,wielka płyta,plastikowe,blok,W trakcie realizacji / Zwolnione,brak informacji
https://www.otodom.pl/pl/oferta/apartament-111m2-z-najwiekszym-tarasem-66m-ID4rlgD,Apartament 111m2 z największym tarasem 66m,1 240 490 zł,"ul. Meteorologów 21, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie",111.32,4,3/4,pierwotny,2024,do wykończenia,miejskie,brak informacji,pełna własność,brak informacji,prywatny,"balkon, taras, garaż/miejsce parkingowe, pom. użytkowe",11143,tak,brak informacji,brak informacji,blok,A,brak informacji
https://www.otodom.pl/pl/oferta/apartament-43m2-klucze-do-odbioru-ostatnie-sztuki-ID4wv12,"Apartament 43m2 KLUCZE DO ODBIORU, Ostatnie sztuki",551 929 zł,"Śródmieście, Katowice, śląskie",42.23,2,> 10/27,pierwotny,2024,do wykończenia,miejskie,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, piwnica, pom. użytkowe",13070,tak,pustak,plastikowe,apartamentowiec,brak informacji,teren zamknięty monitoring / ochrona
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-91m2-2-balkony-ID4ungy,4-pokojowe mieszkanie 91m2 + 2 balkony,brak informacji,"ul. Nadgórników, Bogucice, Katowice, śląskie",91.73,4,7/16,pierwotny,2026,do wykończenia,brak informacji,brak informacji,pełna własność,2026-12-18,deweloper,"balkon, garaż/miejsce parkingowe",brak informacji,tak,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-75m2-balkon-ID4unzS,4-pokojowe mieszkanie 75m2 + balkon,880 906 zł,"ul. ks. Piotra Skargi 1, Śródmieście, Katowice, śląskie",75.36,4,2/11,pierwotny,2026,do wykończenia,brak informacji,brak informacji,pełna własność,2026-12-12,deweloper,"balkon, garaż/miejsce parkingowe",11689,tak,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji
